time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
556,774.45,-4.86,820,1509,839680,0.2,0.008343933150172234,0.0,8190,-0.0008001627400517463,-1.4901029348373414,9.991613440000001e-05,0.00029785073,0.7156047523021698,0.021349667571485043,,
556,778.99,-4.85,821,1510,840704,0.2,0.008093009702861309,0.0,8200,-0.00037024191115051506,-1.484526789188385,9.9916032e-05,0.00015381299,0.8058982342481613,0.018957972712814807,,
556,780.68,-4.84,822,1512,841728,0.2,0.00855481531471014,0.0,8210,-0.0008220701012760401,-1.36236914396286,9.99159296e-05,0.0002720766,0.8010239601135254,0.021146162413060665,,
556,780.52,-4.84,823,1513,842752,0.2,0.00758536159992218,0.0,8220,-0.0010087839094921947,-1.5784232378005982,9.991582720000001e-05,0.00051876093,0.7702979296445847,0.020743530243635178,,
557,788.43,-4.84,824,1514,843776,0.2,0.0066313063725829124,0.0,8230,3.462869208306074e-05,-1.4388137817382813,9.991572480000001e-05,0.00023319767,0.6817151010036469,0.016832401417195796,,
557,787.69,-4.84,825,1515,844800,0.2,0.00545064453035593,0.0,8240,-0.0009894209448248147,-1.5440313935279846,9.991562240000001e-05,0.00038251985,0.8138116896152496,0.01632386688143015,,
557,790.65,-4.85,826,1516,845824,0.2,0.0036718007177114487,0.0,8250,-0.0006323118461295963,-1.4990072131156922,9.991552e-05,0.00019035154,0.8314052820205688,0.011533283442258836,,
557,791.02,-4.84,827,1517,846848,0.2,0.011255192570388317,0.0,8260,-0.0007365969009697438,-1.5332806587219239,9.991541760000001e-05,0.00023772317,0.7173059582710266,0.02672139536589384,,
558,793.58,-4.84,828,1519,847872,0.2,0.010747389867901802,0.0,8270,-0.0006887108320370317,-1.647834599018097,9.99153152e-05,0.00033403374,0.6890916228294373,0.025046623311936855,,
558,790.66,-4.84,829,1520,848896,0.2,0.00268196826800704,9.765625e-05,8280,-0.0014969615265727043,-1.5424382448196412,9.99152128e-05,0.0006744204,0.8031530976295471,0.01399034382775426,,
